Date,Open,High,Low,Close,Sentiment,Results,Results(+),,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2020,"3,038.78","3,062.18","3,031.54","3,055.73",-1.200022663,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2020,"3,064.78","3,081.07","3,051.64","3,080.82",-1.501246459,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2020,"3,098.90","3,130.94","3,098.90","3,122.87",-1.500453258,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2020,"3,111.56","3,128.91","3,090.41","3,112.35",-1.572545528,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2020,"3,163.84","3,211.72","3,163.84","3,193.93",-0.876246459,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2020,"3,199.92","3,233.13","3,196.00","3,232.39",-0.334327982,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2020,"3,213.32","3,222.71","3,193.11","3,207.18",-0.66827825,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2020,"3,213.42","3,223.27","3,181.49","3,190.14",-0.430060704,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2020,"3,123.53","3,123.53","2,999.49","3,002.10",-1.170494177,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2020,"3,071.04","3,088.42","2,984.47","3,041.31",-1.404872521,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2020,"2,993.76","3,079.76","2,965.66","3,066.59",-0.564525496,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2020,"3,131.00","3,153.45","3,076.06","3,124.74",-1.340006295,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2020,"3,136.13","3,141.16","3,108.03","3,113.49",-0.201246459,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2020,"3,101.64","3,120.00","3,093.51","3,115.34",-0.574828005,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2020,"3,140.29","3,155.53","3,083.11","3,097.74",-0.839678942,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2020,"3,094.42","3,120.92","3,079.39","3,117.86",-0.824166881,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2020,"3,138.70","3,154.90","3,127.12","3,131.29",-0.706096317,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2020,"3,114.40","3,115.01","3,032.13","3,050.33",-0.910424929,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2020,"3,046.60","3,086.25","3,024.01","3,083.76",-0.697739572,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2020,"3,073.20","3,073.73","3,004.63","3,009.05",-1.218266289,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2020,"3,018.59","3,053.89","2,999.74","3,053.24",-1.035303746,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2020,"3,050.20","3,111.51","3,047.83","3,100.29",0,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2020,"3,105.92","3,128.44","3,101.17","3,115.86",-1,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2020,"3,143.64","3,165.81","3,124.52","3,130.01",1,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2020,"3,155.29","3,182.59","3,155.29","3,179.72",-1.507246377,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2020,"3,166.44","3,184.15","3,142.93","3,145.32",-0.885798055,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2020,"3,153.07","3,171.80","3,136.53","3,169.94",-0.942791762,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2020,"3,176.17","3,179.78","3,115.70","3,152.05",0.001659039,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2020,"3,152.47","3,186.82","3,136.22","3,185.04",-0.29225237,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2020,"3,205.08","3,235.32","3,149.43","3,155.22",-0.508199847,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,"3,141.11","3,200.95","3,127.66","3,197.52",-0.614836003,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2020,"3,225.98","3,238.28","3,200.76","3,226.56",-0.453279939,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2020,"3,208.36","3,220.39","3,198.59","3,215.57",-0.909483855,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2020,"3,224.21","3,233.52","3,205.65","3,224.73",-1.041598562,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2020,"3,224.29","3,258.61","3,215.16","3,251.84",-1.069007437,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2020,"3,268.52","3,277.29","3,247.77","3,257.30",-0.209210526,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2020,"3,254.86","3,279.32","3,253.10","3,276.02",0.314302059,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2020,"3,271.64","3,279.99","3,222.66","3,235.66",-1.048095783,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2020,"3,218.58","3,227.26","3,200.05","3,215.63",-0.133581236,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2020,"3,219.84","3,241.43","3,214.25","3,239.41",-0.867276888,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2020,"3,234.27","3,243.72","3,216.17","3,218.44",-0.757627765,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2020,"3,227.22","3,264.74","3,227.22","3,258.44",0.774218154,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2020,"3,231.76","3,250.92","3,204.13","3,246.22",-1.579519451,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2020,"3,270.45","3,272.17","3,220.26","3,271.12",0,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2020,"3,288.26","3,302.73","3,284.53","3,294.61",-1.5,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2020,"3,289.92","3,306.84","3,286.37","3,306.51",-0.224977778,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2020,"3,317.37","3,330.77","3,317.37","3,327.77",-0.6704,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2020,"3,323.17","3,351.03","3,318.14","3,349.16",-1.008,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2020,"3,340.05","3,352.54","3,328.72","3,351.28",-0.0002,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2020,"3,356.04","3,363.29","3,335.44","3,360.47",0.00056,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2020,"3,370.34","3,381.01","3,326.44","3,333.69",-0.452044444,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2020,"3,355.46","3,387.89","3,355.46","3,380.35",-0.8879,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2020,"3,372.95","3,387.24","3,363.35","3,373.43",1.0164,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2020,"3,368.66","3,378.51","3,361.64","3,372.85",0,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2020,"3,380.86","3,387.59","3,379.22","3,381.99",-0.846233333,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2020,"3,387.04","3,395.06","3,370.15","3,389.78",-1.43076,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2020,"3,392.51","3,399.54","3,369.66","3,374.85",-1.02445,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/2020,"3,360.48","3,390.80","3,354.69","3,385.51",1.0316,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/2020,"3,386.01","3,399.96","3,379.31","3,397.16",-1.0224,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/2020,"3,418.09","3,432.09","3,413.13","3,431.28",-0.51325,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2020,"3,435.95","3,444.21","3,425.84","3,443.62",-0.662218182,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/2020,"3,449.97","3,481.07","3,444.15","3,478.73",-0.858909091,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/2020,"3,485.14","3,501.38","3,468.35","3,484.55",-1.064,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2020,"3,507.44","3,528.03","3,494.60","3,526.65",-0.257877213,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2020,"3,543.76","3,588.11","3,535.23","3,580.84",-1.105570895,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2020,"3,564.74","3,564.85","3,427.41","3,455.06",-0.808394626,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2020,"3,453.60","3,479.15","3,349.63","3,426.96",-0.83349575,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2020,"3,371.88","3,379.97","3,329.27","3,331.84",-1.086662877,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/2020,"3,369.82","3,424.77","3,366.84","3,398.96",-0.585810189,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2020,"3,412.56","3,425.55","3,329.25","3,339.19",-0.803345785,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2020,"3,352.70","3,368.95","3,310.47","3,340.97",-0.40290726,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/2020,"3,363.56","3,402.93","3,363.56","3,383.54",-1.002842293,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2020,"3,407.73","3,419.48","3,389.25","3,401.20",-0.090968152,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2020,"3,411.23","3,428.92","3,384.45","3,385.49",-0.754385253,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/2020,"3,346.86","3,375.17","3,328.82","3,357.01",-0.389511486,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2020,"3,357.38","3,362.27","3,292.40","3,319.47",-1.341616588,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2020,"3,285.57","3,285.57","3,229.10","3,281.06",-0.838684063,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2020,"3,295.75","3,320.31","3,270.95","3,315.57",0.503221266,y,n,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2020,"3,320.11","3,323.35","3,232.57","3,236.92",-0.609647556,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/2020,"3,226.14","3,278.70","3,209.45","3,246.59",-0.801168047,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2020,"3,236.66","3,306.88","3,228.44","3,298.46",-0.858235154,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2020,"3,333.90","3,360.74","3,332.91","3,351.60",0.282531339,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/2020,"3,350.92","3,357.92","3,327.54","3,335.47",-1.306123112,n,y,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2020,"3,341.21","3,393.56","3,340.47","3,363.00",N/a,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Succes rate(%) =,,41.25,53.75,,,,,,,,,,,,,,,,,,,,,
